순위,제목,댓글수,언론사,감성,신뢰도
1,전광훈 "젖비린내 이준석에 당하면 대한민국 끝나..민주·국힘 해산",5618,뉴스1,부정,0.994140625
2,'건물 붕괴참사' 개입의혹 조폭출신 전 5·18단체 회장 해외도피(종합),2265,연합뉴스,부정,0.99365234375
3,이준석 접종 모습도 화제.. 상의 탈의하며 "국민에게 불쾌감 줘 민망",1750,세계일보,부정,0.99658203125
4,전광훈 "젖비린내 나는 이준석..민주·국민의힘 모두 해산 시켜야",1649,아시아경제,부정,0.99658203125
5,광복절부터 대체공휴일 된다는데.."결국 공무원만 좋은 일?" [이지효의 플러스 PICK],1349,한국경제TV,부정,0.98388671875
6,최민희 이준석 '따릉이 출근'에 "그냥 걸어라"..서민 "왜 화났나",1271,중앙일보,부정,0.99658203125
7,14년 동안 8번 '무산'..보수·기독교 반대 이번엔 넘을까,832,MBC,부정,0.9296875
8,[단독] 윤석열 이달 말 '정치 참여' 선언 검토..사실상 대선 출정식,820,JTBC,부정,0.53515625
9,"네 친구 생리해?"..지인 성관계 불발에 여친 폭행한 50대,798,이데일리,부정,0.9970703125
10,"천안함이 벼슬" 각종 막말에 與의원 "울컥 욕 튀어나왔다",566,서울신문,부정,0.9970703125
11,[제보영상] CCTV 확인했더니.. "배상도 안 된다는데 너무 속상해요",562,YTN,부정,0.99658203125
12,[단독] 이천시 공무원이 땅만 사면 '개발'..수상한 대박,444,JTBC,긍정,0.57861328125
13,"북한도 이 정도론 안 미쳤다"..탈북 유학생 美대학 비판,444,뉴시스,부정,0.99658203125
14,안철수 "당명 바꿔 합당" 기습제안..이준석 "처음 듣는 얘기",388,한겨레,부정,0.947265625
15,이재명 윤석열과 지지율 격차 질문에 "민심의 강은 흐르는 것",356,아시아경제,부정,0.849609375
16,"한국에 유수한 제약사 많다"..美모더나 넘어 獨 큐어백도 위탁생산하나,351,조선비즈,부정,0.72998046875
17,"AZ 코로나 항체 치료제 3상 시험서 유의미한 효과 못 거둬",321,연합뉴스,부정,0.98046875
18,선글라스 낀 바이든에 발끈한 英 "여왕은 안썼는데",309,서울신문,부정,0.99267578125
19,[단독] 눈뼈 부러지도록 버스기사 폭행..잡고 보니 수배자,305,SBS,부정,0.99658203125
20,한국선 구경도 못하는데..中샤넬 진열대엔 '신상' 빼곡 직원들 "바로 구매 가능합니다,283,매일경제,긍정,0.63671875
21,민경욱 이준석 글씨체 조롱에 김종인도 소환..김근식 "꼰대 시선",282,쿠키뉴스,부정,0.9970703125
22,빚내서 이자 갚는 126만 명..하반기 금리마저 올리면?,256,MBC,부정,0.99169921875
23,1억써야 에르메스 버킨백 기회준다..명품큰손 한국 길들이는 에루샤,224,매일경제,긍정,0.92236328125
24,[단독] '오피스텔 감금 살인' 피해 남성 4월 실종 신고..친구 2명은 구속,214,MBN,부정,0.96044921875
25,모텔방 열자 女 선택하는 '미러방' 있었다,213,이데일리,중립,0.8984375
26,[단독] 고발 이후 '김현미 농지' 가보니 정비한 모습..커지는 주택 명의신탁 의혹,209,JTBC,부정,0.97900390625
27,"대체공휴일 전면확대"..올해 4일 더 쉰다,193,한겨레,부정,0.740234375
28,"물 좀 달라" 외치다 숨진 청년 어쩌다 41년만에 찾았나,184,오마이뉴스,부정,0.9658203125
29,광복절 금토일 연휴? 아니면 토일월?..여야 대체공휴일 경쟁,169,중앙일보,부정,0.85400390625
30,[주진우 라이브] 윤건영 "G7 참가국 중 한 국가만 빼고 문 대통령에게 회담 제의..일본의 태도는 한마디로 속 좁은 정치",159,KBS,부정,0.99609375
31,진중권 "이준석 당대표 당선 일러..좀 더 경륜 쌓아야"ㅣ영끌 인터뷰,147,JTBC,부정,0.71484375
32,[영상]'목 안에서 튀어나온 입' 에일리언 물고기 정체는?,147,헤럴드경제,부정,0.5908203125
33,'한 트럭' 증거자료 전부 낭독해야 한다는 피고인.. 재판장 '쩔쩔',137,오마이뉴스,부정,0.994140625
34,G7서 고립 "낯 가리는 日 스가 존재감 없어"..文과 비교,124,국민일보,부정,0.99755859375
35,문 대통령 스페인 방문..2년 만에 국빈 맞는 레티시아 왕비의 패션은,116,한국일보,긍정,0.74365234375
36,[르포] '차명 농지 의혹' 문진석 의원 그 '땅' 찾아가보니..,115,JTBC,부정,0.96923828125
37,고사양 게임·매끄러운 스트리밍 '척척'.. 삼성전자 최고 성능 멀티칩 패키지 출시                                                                                                〈D램+낸드 메모리〉,113,세계일보,긍정,0.9912109375
38,여성 고르는 유리방까지..모텔 개조해 불법 영업,107,MBC,부정,0.9912109375
39,맥킨지 "韓 원자력 줄고 석탄·가스 비중 커..2030년 온실가스 목표 어렵다",106,이데일리,부정,0.98681640625
40,'G7 혼자 놀기 달인 스가'..국제적인 고립감 드는 총리 사진 SNS서 화제,96,문화일보,부정,0.99609375
41,[단독] 눈뼈 부러지도록 버스기사 폭행..잡고 보니 수배자,90,SBS,부정,0.99658203125
42,세월호특검 유가족 만나 "박근혜 대통령기록물 압수수색도 검토",72,서울신문,부정,0.8076171875
43,[영상] 이준석 저격한 윤호중 "이런 여의도 어법 청년다움 벌써 잃어버렸나?",67,뉴스1,부정,0.9951171875
44,檢 "김학의 출국 차규근→이용구→윤대진→조국→이광철 순 전파",58,노컷뉴스,중립,0.92431640625
45,원룸에 가두고 굶겨 살해..잔인한 동창 2명 구속,57,MBC,부정,0.99609375
46,[뉴스하이킥] 배종찬 "윤석열 빅데이터상 대선후보로서 비전과 정책 관련 연관어 없어 반사체적 지지 받을 뿐",51,MBC,부정,0.61767578125
47,윤석열 이르면 6월 말 대권도전 선언한다,42,세계일보,부정,0.515625
48,[뉴스하이킥] 김남국 "나이만 젊어졌다고 청년정치 아냐 기득권에 반대할 수 있어야",38,MBC,부정,0.9921875
49,"TV보던 할멈이 물건을 집어던져요"..늘어나는 '노노(老老) 학대',37,동아일보,부정,0.994140625
50,농민들이 직접 '가짜 농부' 잡아낸다,35,KBS,부정,0.99169921875
